"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","522","6,446","23,792","106,795"
"Minnesota","722511","Full-service restaurants","All establishments","All establishments","2016","3,886","95,927","411,732","1,799,421"
"Minnesota","722511","Full-service restaurants","Non-profit","All establishments","2016","9","144","342","1,682"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","1","20 to 99 employees","D","D"
"Minnesota","722511","Full-service restaurants","Partnerships","All establishments","2016","819","23,223","101,888","443,371"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","832","1,191","4,299","62,329"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","82","106","391","6,227"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","357","554","2,274","26,488"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","222","350","967","8,938"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","169","180","663","20,427"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","2","0 to 19 employees","D","D"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","118","811","1,953","8,463"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","561","3,843","12,245","53,026"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","71","470","1,666","7,237"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","90","608","1,575","7,049"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","281","1,948","7,043","30,245"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","4","61","147","665"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","79","1,130","4,306","18,285"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","104","1,381","3,590","16,290"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","161","2,444","8,050","33,185"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","487","6,970","25,148","111,577"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","835","11,986","41,241","180,002"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","1","20 to 99 employees","D","D"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","50","1,408","5,099","22,036"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","649","19,772","80,136","346,621"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","240","8,461","38,087","158,768"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","143","5,076","20,553","89,449"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","1,083","34,738","143,942","617,149"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","25","1,987","9,072","36,930"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","142","9,142","43,454","181,167"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","486","32,736","154,699","650,397"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","193","12,805","59,163","256,320"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","124","8,663","42,326","173,023"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","1","20 to 99 employees","D","D"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","1","20 to 99 employees","D","D"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","32","4,041","17,867","76,850"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","37","4,495","24,269","102,755"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","87","10,758","51,503","219,652"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","16","1,987","8,091","34,935"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Minnesota","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","All establishments","All establishments","2016","1,732","36,264","125,011","520,589"
"Mississippi","722511","Full-service restaurants","Non-profit","All establishments","2016","2","20 to 99 employees","D","D"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","330","3,446","11,196","47,629"
"Mississippi","722511","Full-service restaurants","S-corporations","All establishments","2016","540","10,847","38,789","164,086"
"Mississippi","722511","Full-service restaurants","Corporations","All establishments","2016","442","11,497","39,271","158,136"
"Mississippi","722511","Full-service restaurants","Partnerships","All establishments","2016","418","10,442","35,625","150,192"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","412","613","2,123","20,282"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","68","95","384","3,065"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","89","136","512","4,571"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","164","255","779","6,184"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","91","127","448","6,462"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","68","433","1,217","4,608"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","50","341","1,202","5,230"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","96","670","2,497","10,178"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","282","1,912","6,349","25,996"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","67","459","1,404","5,862"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","168","2,347","8,933","36,818"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","79","1,134","3,476","15,196"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","49","659","1,887","7,521"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","388","5,491","18,203","75,557"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","92","1,351","3,907","16,022"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","145","4,343","15,344","64,368"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","101","2,911","9,727","40,157"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","173","5,268","14,984","62,161"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","455","13,571","43,586","181,056"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","1","20 to 99 employees","D","D"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","35","1,026","3,430","13,942"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","72","4,849","17,188","69,595"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","47","3,154","13,442","50,504"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","166","11,350","42,359","166,954"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","12","849","3,180","12,491"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","35","2,498","8,549","34,364"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","12","1,288","5,352","21,154"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","29","3,327","12,391","50,744"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","7","853","2,954","13,787"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","8","962","3,382","12,920"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Mississippi","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Non-profit","All establishments","2016","2","20 to 99 employees","D","D"
"Missouri","722511","Full-service restaurants","Corporations","All establishments","2016","1,053","35,216","139,624","596,421"
"Missouri","722511","Full-service restaurants","Partnerships","All establishments","2016","1,077","22,627","84,241","376,771"
"Missouri","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","826","9,684","34,321","144,983"
"Missouri","722511","Full-service restaurants","All establishments","All establishments","2016","4,578","105,624","404,007","1,754,182"
"Missouri","722511","Full-service restaurants","S-corporations","All establishments","2016","1,619","38,049","145,651","635,288"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","1","0 to 19 employees","D","D"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","126","224","1,152","11,104"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","1,047","1,630","5,858","62,872"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","239","411","1,740","17,974"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","373","601","1,658","11,151"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","308","394","1,308","22,640"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","196","1,296","3,561","15,214"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","702","4,858","16,680","72,072"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","141","1,017","2,879","12,899"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","104","737","2,992","13,096"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","260","1,802","7,240","30,833"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","213","3,051","9,528","39,563"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","134","1,770","5,379","22,438"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","393","5,525","20,147","87,798"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","195","2,776","11,196","49,536"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","935","13,122","46,250","199,335"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","288","9,218","34,936","149,360"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","1,271","40,197","146,805","625,295"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","373","11,987","42,464","182,109"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","1","20 to 99 employees","D","D"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","534","16,555","60,597","257,068"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","75","2,395","8,646","36,072"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","166","10,644","41,967","179,721"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","112","7,120","27,938","118,004"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","219","14,860","61,387","256,279"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","539","35,574","143,771","603,707"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","42","2,950","12,479","49,703"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","84","10,243","44,643","190,901"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","36","4,632","20,433","84,297"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","27","3,112","13,960","61,894"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","6","500 to 999 employees","D","D"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","15","1,827","7,652","34,305"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Missouri","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","All establishments","All establishments","2016","1,093","19,914","76,471","339,384"
"Montana","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","215","1,983","6,395","29,779"
"Montana","722511","Full-service restaurants","Corporations","All establishments","2016","93","2,046","7,772","33,327"
"Montana","722511","Full-service restaurants","S-corporations","All establishments","2016","516","10,950","44,097","194,481"
"Montana","722511","Full-service restaurants","Non-profit","All establishments","2016","2","0 to 19 employees","D","D"
"Montana","722511","Full-service restaurants","Partnerships","All establishments","2016","267","4,923","18,181","81,670"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","285","394","1,240","16,601"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","14","17","84","1,119"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","101","167","485","3,482"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","80","105","381","6,294"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","90","105","290","5,706"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","11","73","188","813"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","2","0 to 19 employees","D","D"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","80","558","1,906","8,311"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","44","312","925","4,152"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","187","1,309","3,962","17,172"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","50","354","917","3,769"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","27","363","1,206","5,028"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","147","2,075","7,324","31,829"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","266","3,664","12,448","54,690"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","54","721","2,295","10,275"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","38","505","1,623","7,558"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","36","1,136","4,029","16,866"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","265","7,998","31,266","134,067"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","152","4,672","18,955","81,031"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","22","651","2,375","10,856"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","55","1,539","5,907","25,314"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","83","5,264","22,385","95,596"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","56","3,431","15,046","64,700"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","3","100 to 249 employees","D","D"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","20","1,316","5,368","22,357"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","4","306","995","4,114"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","6","758","2,976","12,966"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","1","100 to 249 employees","D","D"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","3","403","1,202","5,574"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","1","500 to 999 employees","D","D"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","1","500 to 999 employees","D","D"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
