"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Nevada","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","189","126,430","30,839","6,355"
"Nevada","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","255","388,974","96,927","17,205"
"Nevada","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","109","168,681","42,073","7,460"
"Nevada","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","44","63,837","16,000","2,840"
"Nevada","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","18","32,412","8,060","1,302"
"Nevada","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","84","124,044","30,794","5,603"
"Nevada","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","96","392,453","95,670","14,261"
"Nevada","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","49","201,393","46,789","7,142"
"Nevada","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","7","28,446","7,150","914"
"Nevada","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","3","9,156","2,503","567"
"Nevada","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","37","153,458","39,228","5,638"
"Nevada","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","7","60,271","15,225","2,230"
"Nevada","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","5","45,869","11,287","1,711"
"New Hampshire","722511","Full-service restaurants","All establishments","All establishments","2017","1,335","583,300","131,697","27,430"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","271","143,138","33,291","7,047"
"New Hampshire","722511","Full-service restaurants","S-corporations ","All establishments","2017","388","234,614","52,016","10,090"
"New Hampshire","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","279","54,022","12,519","3,082"
"New Hampshire","722511","Full-service restaurants","Partnerships","All establishments","2017","394","149,641","33,404","7,109"
"New Hampshire","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","284","27,707","1,684","398"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","50","4,204","313","82"
"New Hampshire","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","53","9,779","434","74"
"New Hampshire","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","82","4,881","505","122"
"New Hampshire","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","98","8,743","412","116"
"New Hampshire","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","242","32,102","7,275","1,701"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","41","5,126","1,266","289"
"New Hampshire","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","51","9,033","1,718","362"
"New Hampshire","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","91","10,067","2,459","633"
"New Hampshire","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","59","7,876","1,832","417"
"New Hampshire","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","309","83,759","19,185","4,370"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","58","17,630","4,033","851"
"New Hampshire","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","80","24,809","5,442","1,127"
"New Hampshire","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","66","15,280","3,574","896"
"New Hampshire","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","105","26,040","6,136","1,496"
"New Hampshire","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","362","234,576","54,693","11,325"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","75","55,011","12,365","2,557"
"New Hampshire","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","152","101,753","23,998","4,743"
"New Hampshire","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","31","13,493","3,332","823"
"New Hampshire","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","103","63,486","14,789","3,158"
"New Hampshire","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","128","175,942","42,387","8,353"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","44","54,135","13,628","2,954"
"New Hampshire","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","47","71,025","16,440","3,040"
"New Hampshire","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","8","8,170","2,102","483"
"New Hampshire","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","28","41,660","9,979","1,822"
"New Hampshire","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","10","29,214","6,473","1,283"
"New Hampshire","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","3","7,032","1,686","314"
"New Hampshire","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","5","18,215","3,984","744"
"New Jersey","722511","Full-service restaurants","All establishments","All establishments","2017","7,815","2,669,181","605,472","129,258"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","1,806","692,709","167,078","34,780"
"New Jersey","722511","Full-service restaurants","S-corporations ","All establishments","2017","2,527","942,669","208,917","42,862"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","1,052","140,249","31,527","8,112"
"New Jersey","722511","Full-service restaurants","Partnerships","All establishments","2017","2,422","886,351","196,284","43,150"
"New Jersey","722511","Full-service restaurants","Non-profit","All establishments","2017","4","1,069","162","74"
"New Jersey","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","4","6,134","1,504","280"
"New Jersey","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","3,142","206,374","24,251","5,445"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","719","42,373","7,034","1,429"
"New Jersey","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","744","63,994","6,951","1,413"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","697","25,756","3,890","1,066"
"New Jersey","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","982","74,251","6,376","1,537"
"New Jersey","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","1,430","185,097","42,000","9,526"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","373","47,814","11,241","2,441"
"New Jersey","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","508","72,393","16,153","3,422"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","162","16,644","3,724","1,086"
"New Jersey","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","386","48,059","10,880","2,569"
"New Jersey","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","1,211","323,380","75,525","16,802"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","246","63,165","15,283","3,382"
"New Jersey","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","507","148,892","34,046","7,141"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","94","20,364","5,059","1,231"
"New Jersey","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","363","90,685","21,119","5,034"
"New Jersey","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","1,290","795,237","187,207","40,309"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","229","149,222","36,576","7,665"
"New Jersey","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","586","366,972","85,587","17,612"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","63","23,828","5,663","1,719"
"New Jersey","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","410","254,607","59,239","13,261"
"New Jersey","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","632","859,688","204,970","42,937"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","190","254,604","61,783","13,158"
"New Jersey","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","157","217,001","49,728","10,093"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","29","38,500","9,426","2,208"
"New Jersey","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","252","343,449","82,529","17,198"
"New Jersey","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","4","6,134","1,504","280"
"New Jersey","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","109","297,241","70,773","14,007"
"New Jersey","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","48","133,367","34,415","6,473"
"New Jersey","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","25","73,417","16,452","3,181"
"New Jersey","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","7","15,157","3,765","802"
"New Jersey","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","29","75,300","16,141","3,551"
"New Mexico","722511","Full-service restaurants","All establishments","All establishments","2017","1,383","560,509","133,271","31,483"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","219","171,424","41,715","9,711"
"New Mexico","722511","Full-service restaurants","S-corporations ","All establishments","2017","512","230,410","54,397","12,293"
"New Mexico","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","345","50,970","12,553","3,311"
"New Mexico","722511","Full-service restaurants","Partnerships","All establishments","2017","305","107,615","24,587","6,158"
"New Mexico","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","315","18,642","1,926","501"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","24","1,406","165","41"
"New Mexico","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","62","4,662","494","103"
"New Mexico","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","148","5,003","846","265"
"New Mexico","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","80","7,558","420","91"
"New Mexico","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","206","22,217","5,494","1,382"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","15","1,598","454","104"
"New Mexico","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","64","8,425","1,916","428"
"New Mexico","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","85","7,779","2,025","559"
"New Mexico","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","41","4,338","1,081","282"
"New Mexico","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","298","66,565","16,534","4,189"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","21","5,162","1,265","304"
"New Mexico","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","134","33,164","8,076","1,884"
"New Mexico","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","73","13,349","3,421","1,000"
"New Mexico","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","70","14,890","3,772","1,001"
"New Mexico","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","389","219,477","52,872","12,399"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","78","50,326","12,201","2,871"
"New Mexico","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","201","111,979","26,879","6,081"
"New Mexico","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","28","11,262","2,978","769"
"New Mexico","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","82","45,910","10,814","2,678"
"New Mexico","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","150","171,761","41,222","9,650"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","67","77,963","18,922","4,536"
"New Mexico","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","42","49,440","11,519","2,568"
"New Mexico","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","11","13,577","3,283","718"
"New Mexico","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","30","30,781","7,498","1,828"
"New Mexico","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","25","61,847","15,223","3,362"
"New Mexico","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","14","34,969","8,708","1,855"
"New Mexico","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","9","22,740","5,513","1,229"
"New York","722511","Full-service restaurants","All establishments","All establishments","2017","20,949","8,900,359","2,065,896","351,687"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","7,394","2,259,497","538,307","100,140"
"New York","722511","Full-service restaurants","S-corporations ","All establishments","2017","7,843","3,247,581","744,101","127,728"
"New York","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","1,776","432,911","100,606","19,829"
"New York","722511","Full-service restaurants","Partnerships","All establishments","2017","3,904","2,949,055","680,174","103,399"
"New York","722511","Full-service restaurants","Non-profit","All establishments","2017","21","2,283","478","98"
"New York","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","11","9,032","2,230","493"
"New York","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","7,637","522,841","56,749","13,245"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","3,386","165,767","27,307","6,402"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","2,215","180,109","18,319","3,989"
"New York","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","944","36,654","4,844","1,472"
"New York","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","1,073","139,143","6,113","1,357"
"New York","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2017","18","1,127","166","25"
"New York","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","3,867","502,042","115,993","26,031"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","1,552","185,024","43,870","10,327"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","1,484","209,248","48,747","10,058"
"New York","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","341","33,389","7,996","2,284"
"New York","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","487","73,245","15,098","3,338"
"New York","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","3,955","1,196,068","285,976","55,035"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","1,129","316,201","77,168","15,452"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","1,888","603,352","141,775","26,516"
"New York","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","265","60,822","14,053","3,514"
"New York","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","673","215,693","52,980","9,553"
"New York","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","3,841","2,836,655","679,261","118,609"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","843","574,627","139,479","26,238"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","1,831","1,372,981","325,193","55,770"
"New York","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","144","92,365","22,600","4,307"
"New York","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","1,020","795,048","191,566","32,186"
"New York","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","1,300","2,241,956","545,500","86,147"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","370","585,196","145,311","25,020"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","369","635,168","152,002","23,864"
"New York","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","57","90,425","22,332","4,133"
"New York","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","497","923,790","224,018","32,696"
"New York","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","7","S","S","250 to 499 employees"
"New York","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","329","1,357,990","325,048","44,492"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","109","370,867","89,859","14,557"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","53","215,299","50,769","6,633"
"New York","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","24","96,585","23,387","3,476"
"New York","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","143","675,239","161,033","19,826"
"New York","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","17","173,955","42,726","5,613"
"New York","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","4","40,781","10,135","1,569"
"New York","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2017","3","31,424","7,296","898"
"New York","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2017","10","101,750","25,295","3,146"
"North Carolina","722511","Full-service restaurants","All establishments","All establishments","2017","7,671","2,945,114","683,822","173,160"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","1,708","846,390","203,566","50,776"
"North Carolina","722511","Full-service restaurants","S-corporations ","All establishments","2017","3,684","1,402,045","316,641","80,625"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","926","154,868","37,605","10,652"
"North Carolina","722511","Full-service restaurants","Partnerships","All establishments","2017","1,345","535,923","124,609","30,780"
"North Carolina","722511","Full-service restaurants","Non-profit","All establishments","2017","4","151","37","33"
"North Carolina","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","4","S","S","250 to 499 employees"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","1,749","126,676","11,378","2,672"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","324","21,552","2,549","571"
"North Carolina","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","657","59,829","5,229","1,062"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","417","15,599","2,092","672"
"North Carolina","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","348","29,634","1,494","365"
"North Carolina","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2017","3","62","14","2"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","1,077","117,389","27,571","7,328"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","237","26,608","6,326","1,590"
"North Carolina","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","490","61,573","13,833","3,429"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","206","16,407","4,190","1,336"
"North Carolina","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","144","12,801","3,222","973"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","1,705","386,513","90,065","24,223"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","304","68,198","16,542","4,479"
"North Carolina","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","968","235,498","53,850","13,713"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","166","27,186","6,761","2,238"
"North Carolina","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","267","55,631","12,912","3,793"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","2,165","1,099,018","260,159","67,066"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","451","228,148","55,423","14,355"
"North Carolina","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","1,227","621,775","142,814","37,190"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","85","37,554","9,654","2,668"
"North Carolina","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","400","210,318","51,979","12,776"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","853","934,812","227,791","56,253"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","329","362,159","89,539","22,009"
"North Carolina","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","302","325,933","77,917","19,836"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","47","49,308","12,555","3,125"
"North Carolina","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","172","192,809","46,682","11,035"
"North Carolina","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","3","S","S","100 to 249 employees"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","118","258,089","61,617","14,386"
"North Carolina","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","61","132,063","31,351","7,170"
"North Carolina","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","39","87,658","20,737","5,050"
"North Carolina","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","5","8,814","2,353","613"
"North Carolina","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","13","29,554","7,176","1,553"
"North Carolina","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","4","22,617","5,241","1,232"
"North Dakota","722511","Full-service restaurants","All establishments","All establishments","2017","585","223,970","53,226","13,541"
"North Dakota","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","90","46,919","11,439","2,758"
"North Dakota","722511","Full-service restaurants","S-corporations ","All establishments","2017","248","115,355","27,335","6,681"
"North Dakota","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","127","17,402","4,055","1,307"
"North Dakota","722511","Full-service restaurants","Partnerships","All establishments","2017","116","43,146","10,111","2,682"
"North Dakota","722511","Full-service restaurants","Non-profit","All establishments","2017","4","1,148","286","113"
"North Dakota","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","140","6,907","746","196"
"North Dakota","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","18","1,095","154","27"
"North Dakota","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","37","2,598","257","57"
"North Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","62","1,777","239","82"
"North Dakota","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","23","1,437","96","30"
"North Dakota","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","84","6,510","1,626","539"
"North Dakota","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","12","940","234","75"
"North Dakota","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","25","2,498","630","170"
"North Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","30","2,157","555","195"
"North Dakota","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","16","909","204","93"
"North Dakota","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","123","26,416","6,271","1,793"
"North Dakota","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","17","3,351","841","253"
"North Dakota","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","54","14,302","3,365","806"
"North Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","23","2,875","691","297"
"North Dakota","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","28","5,749","1,344","424"
"North Dakota","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","154","79,567","19,111","4,617"
"North Dakota","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","22","12,227","2,878","708"
"North Dakota","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","92","49,217","11,868","2,774"
"North Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","6","1,624","349","130"
"North Dakota","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","33","16,335","3,976","981"
"North Dakota","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","75","86,589","21,304","5,336"
"North Dakota","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","19","25,041","6,316","1,429"
"North Dakota","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","37","41,178","9,921","2,555"
"North Dakota","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","4","4,855","1,237","351"
"North Dakota","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","14","14,676","3,617","931"
"North Dakota","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","9","17,981","4,168","1,060"
"North Dakota","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","3","S","S","250 to 499 employees"
"Ohio","722511","Full-service restaurants","All establishments","All establishments","2017","7,582","3,257,551","774,020","196,172"
"Ohio","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","1,703","1,055,041","256,258","62,526"
"Ohio","722511","Full-service restaurants","S-corporations ","All establishments","2017","2,854","1,100,256","260,048","63,899"
